DATE,PLANT,PARTNER,MATERIAL,VALUE,
03.01.2021,1118,21017353,BT00001,8,
03.01.2021,1118,21017353,BT00001,16,
03.01.2021,1118,21017353,BT00001,8,
03.01.2021,1118,21017353,BT00001,32,
03.01.2021,1118,21017353,BT00001,16,
03.01.2021,1118,21017353,BT00001,32,
03.01.2021,1118,21017353,BT00001,16,
03.01.2021,1118,21017353,BT00001,16,
03.01.2021,1118,21017353,BT00001,16,
03.01.2021,1118,21017353,BT00001,32,
03.01.2021,1118,21017353,BT00001,32,
03.01.2021,1118,21017353,BT00003,12,
03.01.2021,1118,21017353,BT00003,12,
03.01.2021,1118,21017353,BT00003,12,
03.01.2021,1118,21017353,BT00003,24,
03.01.2021,1118,21017353,BT00003,24,
03.01.2021,1118,21017353,BT00003,12,
03.01.2021,1118,21017353,BT00003,48,
03.01.2021,1118,21017353,BT00003,48,
03.01.2021,1118,21017353,BT00006,36,
03.01.2021,1118,21017353,BT00006,36,
04.01.2021,1118,247900,BT00002,32,
04.01.2021,1118,276000,BT00001,16,
04.01.2021,1118,276000,BT00001,60,
04.01.2021,1118,276000,BT00001,16,
04.01.2021,1114,331800,BT00002,1,
04.01.2021,1114,331800,BT00002,1,
04.01.2021,1118,1158600,BT00001,48,
04.01.2021,1118,1245800,BT00001,16,
04.01.2021,1118,1245800,BT00003,48,
04.01.2021,1118,1273000,BT00001,48,
04.01.2021,1118,1273000,BT00001,48,
04.01.2021,1118,1273000,BT00001,48,
04.01.2021,1118,1273000,BT00001,48,
04.01.2021,1118,1273000,BT00001,48,
04.01.2021,1118,1273000,BT00001,32,
04.01.2021,1112,1943500,BT00001,-30,
04.01.2021,1112,1943500,BT00002,-1,
04.01.2021,1112,1943500,BT00007,-96,
04.01.2021,1112,1943500,BT00007,-48,
04.01.2021,1112,1943500,BT00007,-16,
04.01.2021,1114,2001400,BT00005,32,
04.01.2021,1118,2013300,BT00001,32,
04.01.2021,1118,2013300,BT00001,16,
04.01.2021,1118,2013300,BT00001,48,
04.01.2021,1118,2013300,BT00001,80,
04.01.2021,1118,2013300,BT00001,76,
04.01.2021,1118,2013300,BT00001,2,
04.01.2021,1118,2013300,BT00001,32,
04.01.2021,1118,2022000,BT00007,32,
04.01.2021,1118,2022000,BT00007,32,
04.01.2021,1118,2022000,BT00007,64,
04.01.2021,1114,2051800,BT00001,24,
04.01.2021,1114,2051800,BT00001,64,
04.01.2021,1114,2051800,BT00001,28,
04.01.2021,1114,2051800,BT00001,4,
04.01.2021,1118,2051800,BT00001,16,
04.01.2021,1118,2051800,BT00001,16,
04.01.2021,1118,2051800,BT00001,32,
04.01.2021,1118,2051800,BT00001,12,
04.01.2021,1118,2051800,BT00001,24,
04.01.2021,1118,2051800,BT00001,48,
04.01.2021,1118,2051800,BT00001,52,
04.01.2021,1118,2051800,BT00001,48,
04.01.2021,1118,2051800,BT00001,48,
04.01.2021,1118,2051800,BT00001,48,
04.01.2021,1118,2051800,BT00001,44,
04.01.2021,1114,2051800,BT00003,36,
04.01.2021,1118,2060300,BT00005,128,
04.01.2021,1118,2203800,BT00001,2,
04.01.2021,1118,2203800,BT00001,16,
04.01.2021,1118,2203800,BT00001,16,
04.01.2021,1118,2203800,BT00001,10,
04.01.2021,1118,2203800,BT00001,80,
04.01.2021,1118,2203800,BT00001,16,
04.01.2021,1118,2203800,BT00001,32,
04.01.2021,1118,2203800,BT00002,32,
04.01.2021,1118,2203800,BT00002,12,
04.01.2021,1118,2203800,BT00002,16,
04.01.2021,1118,2203800,BT00002,43,
04.01.2021,1118,2203800,BT00006,54,
04.01.2021,1122,2306100,BT00001,3,
04.01.2021,1112,2471800,BT00007,4,
04.01.2021,1118,2475700,BT00002,48,
04.01.2021,1118,2475700,BT00007,86,
04.01.2021,1112,2507900,BT00001,12,
04.01.2021,1112,2507900,BT00001,4,
04.01.2021,1112,2507900,BT00001,8,
04.01.2021,1112,2507900,BT00001,16,
04.01.2021,1118,2635400,BT00002,32,
04.01.2021,1118,2635400,BT00002,6,
04.01.2021,1118,2700900,BT00002,32,
04.01.2021,1113,2721600,BT00004,112,
04.01.2021,1113,2721600,BT00004,36,
04.01.2021,1113,2721600,BT00005,16,
04.01.2021,1113,2721600,BT00005,16,
04.01.2021,1113,2721600,BT00005,16,
04.01.2021,1112,3208700,BT00002,32,
04.01.2021,1118,3230100,BT00001,12,
04.01.2021,1125,3244500,BT00004,16,
04.01.2021,1125,3244500,BT00004,48,
04.01.2021,1125,3244500,BT00004,96,
04.01.2021,1125,3244500,BT00004,96,
04.01.2021,1125,3244500,BT00004,48,
04.01.2021,1118,3260700,BT00001,96,
04.01.2021,1118,3260700,BT00001,32,
04.01.2021,1118,3260700,BT00001,144,
04.01.2021,1118,3260700,BT00001,48,
04.01.2021,1118,3260700,BT00001,32,
04.01.2021,1118,3260700,BT00001,32,
04.01.2021,1118,3260700,BT00001,16,
04.01.2021,1118,3260700,BT00002,26,
04.01.2021,1118,3260700,BT00002,32,
04.01.2021,1118,3260700,BT00007,2,
04.01.2021,1118,3298300,BT00002,32,
04.01.2021,1118,3298300,BT00002,96,
04.01.2021,1118,3298300,BT00002,32,
04.01.2021,1115,3301700,BT00003,12,
04.01.2021,1115,3301700,BT00003,36,
04.01.2021,1115,3301700,BT00003,12,
04.01.2021,1115,3301700,BT00003,12,
04.01.2021,1120,3301700,BT00003,2,
04.01.2021,1118,3403456,BT00002,192,
04.01.2021,1118,3529056,BT00002,6,
04.01.2021,1118,3529056,BT00002,2,
04.01.2021,1118,20137878,BT00002,32,
04.01.2021,1118,20137878,BT00002,32,
04.01.2021,1118,20137878,BT00002,64,
04.01.2021,1118,20137878,BT00006,9,
04.01.2021,1116,20166678,BT00002,32,
04.01.2021,1116,20166678,BT00002,80,
04.01.2021,1116,21000433,BT00001,8,
04.01.2021,1116,21000433,BT00001,16,
04.01.2021,1116,21000433,BT00001,44,
04.01.2021,1116,21000433,BT00002,8,
04.01.2021,1114,21000915,BT00001,32,
04.01.2021,1116,21000915,BT00001,16,
04.01.2021,1116,21000915,BT00001,32,
04.01.2021,1114,21000915,BT00003,24,
04.01.2021,1117,21001061,BT00001,48,
04.01.2021,1117,21001061,BT00001,80,
04.01.2021,1117,21001061,BT00001,8,
04.01.2021,1117,21001061,BT00001,16,
04.01.2021,1117,21001061,BT00001,16,
04.01.2021,1117,21001061,BT00001,48,
04.01.2021,1117,21001061,BT00001,16,
04.01.2021,1117,21001061,BT00001,48,
04.01.2021,1112,21001061,BT00002,26,
04.01.2021,1117,21001061,BT00007,16,
04.01.2021,1117,21001061,BT00007,16,
04.01.2021,1118,21001851,BT00001,36,
04.01.2021,1118,21001851,BT00002,48,
04.01.2021,1117,21001921,BT00002,16,
04.01.2021,1118,21001944,BT00001,16,
04.01.2021,1118,21001944,BT00001,2,
04.01.2021,1118,21001944,BT00001,32,
04.01.2021,1118,21001944,BT00006,27,
04.01.2021,1118,21001944,BT00006,9,
04.01.2021,1118,21001944,BT00006,18,
04.01.2021,1118,21001944,BT00006,9,
04.01.2021,1118,21001944,BT00006,9,
04.01.2021,1118,21001944,BT00006,18,
04.01.2021,1118,21001944,BT00006,9,
04.01.2021,1122,21002552,BT00002,21,
04.01.2021,1122,21003044,BT00007,3,
04.01.2021,1122,21003044,BT00007,2,
04.01.2021,1122,21003044,BT00007,1,
04.01.2021,1118,21003989,BT00001,16,
04.01.2021,1118,21003989,BT00001,6,
04.01.2021,1118,21003989,BT00001,32,
04.01.2021,1118,21003989,BT00001,16,
